phase,system,workers,run_id,completion_rate_med,producer_call_p95_ms_med,queue_depth_med
A,awa,4,results/custom-20260503T091803Z-5d838a,208.8,18.9,3796.0
A,awa,16,results/custom-20260503T092330Z-5d1f7b,629.5,37.3,2479.0
A,awa,64,results/custom-20260503T092905Z-1792d8,2732.1,35.8,3578.0
A,awa,128,results/custom-20260503T093453Z-c7207e,4731.1,55.2,3652.0
A,absurd,4,results/custom-20260503T094049Z-6a7442,132.8,,2462.0
A,absurd,16,results/custom-20260503T094615Z-cef5e9,252.8,,2776.0
A,absurd,64,results/custom-20260503T095142Z-2f3a56,362.8,,3184.0
A,absurd,128,results/custom-20260503T095715Z-70f246,384.0,,3344.0
A,pgque,4,results/custom-20260503T100237Z-23619d,3341.6,0.0,3976.0
A,pgque,16,results/custom-20260503T100906Z-7fe6ff,9561.0,0.0,3440.5
A,pgque,64,results/custom-20260503T101425Z-a13873,17577.3,0.0,2567.5
A,pgque,128,results/custom-20260503T101947Z-66cb2b,20623.4,0.1,1828.5
A,procrastinate,4,results/custom-20260503T102506Z-3dd5f4,262.9,,2841.5
A,procrastinate,16,results/custom-20260503T103026Z-9e9d34,266.4,,2499.0
A,procrastinate,64,results/custom-20260503T103546Z-ef283d,257.9,,2949.0
A,procrastinate,128,results/custom-20260503T104106Z-7554e1,267.8,,2809.0
A,pgboss,4,results/custom-20260503T104630Z-7c552d,512.0,,2000.0
A,pgboss,16,results/custom-20260503T105158Z-71cfd7,2048.0,,2000.0
A,pgboss,64,results/custom-20260503T105724Z-59b2ea,5028.0,,1000.0
A,pgboss,128,results/custom-20260503T110259Z-3f44cf,5200.0,,1000.0
A,river,4,results/custom-20260503T110824Z-d59358,79.2,,5599.5
A,river,16,results/custom-20260503T111347Z-c1843f,316.7,,7754.0
A,river,64,results/custom-20260503T111909Z-a6d2ee,1255.6,,6723.5
A,river,128,results/custom-20260503T112432Z-1d4ef1,2497.9,,8141.5
A,oban,4,results/custom-20260503T112955Z-c7b462,333.0,,2529.0
A,oban,16,results/custom-20260503T113517Z-b57385,1082.6,,3093.0
A,oban,64,results/custom-20260503T114040Z-fa659e,0.0,,6626.0
A,oban,128,results/custom-20260503T114608Z-0989a1,0.0,,0.0
B,pgmq,4,results/custom-20260503T115132Z-6e1ed8,3558.4,,2000.0
B,pgmq,16,results/custom-20260503T115655Z-0987d5,13196.8,,2000.0
B,pgmq,64,results/custom-20260503T120221Z-3967e0,6768.0,,1412.0
B,pgmq,128,results/custom-20260503T120752Z-945c72,4432.7,,1328.0
