stripes,workers,run_id,completion_rate_med,producer_call_p95_ms_med,end_to_end_p95_ms_med,end_to_end_p99_ms_med,queue_depth_med
1,64,results/custom-20260503T060130Z-38d69b,3407.5,21.9,3182.6,3604.5,5962.0
1,128,results/custom-20260503T060719Z-3729ce,4741.1,39.8,2367.5,2760.7,6327.0
1,256,results/custom-20260503T061310Z-c32ea1,9530.1,46.7,1159.2,1802.2,5285.0
1,512,results/custom-20260503T061846Z-6037b6,11187.5,42.0,1222.7,1599.5,4808.0
2,64,results/custom-20260503T062418Z-cde7fc,4653.6,28.7,2789.4,3553.3,6016.0
2,128,results/custom-20260503T062949Z-42bf2d,7667.3,37.4,1695.7,2035.7,7008.0
2,256,results/custom-20260503T063524Z-11b53e,11975.0,45.4,820.2,1027.1,4616.0
2,512,results/custom-20260503T064051Z-a49d15,11172.7,55.0,1080.3,1404.9,6208.0
4,64,results/custom-20260503T064619Z-1eae2f,4378.0,34.0,3117.1,3692.5,6435.0
4,128,results/custom-20260503T065149Z-8a5774,7596.2,44.9,1759.2,2103.3,5797.0
4,256,results/custom-20260503T065724Z-4e7cfd,11417.6,45.9,823.3,1037.3,6080.0
4,512,results/custom-20260503T070253Z-957776,11443.2,49.3,836.1,1056.8,4808.0
